388,441,비바람이 칠 때와,인도와보호
389,,내게로 오라 하신 주님의,인도와보호
390,444,예수가 거느리시니,인도와보호
391,446,오 놀라운 구세주,인도와보호
392,,주여 어린 사슴이,인도와보호
393,447,오 신실하신 주,인도와보호
394,449,이 세상의 친구들,인도와보호
395,450,자비하신 예수여,인도와보호
396,,우리 주님 밤 새워,인도와보호
397,454,주 사랑 안에 살면,인도와보호
398,92,어둠의 권세에서,인도와보호
399,,어린 양들아 두려워 말라,인도와보호
400,463,험한 시험 물 속에서,인도와보호
401,457,주의 곁에 있을 때,인도와보호
402,,나의 반석 나의 방패,인도와보호
403,,영원하신 주님의,인도와보호
404,477,바다에 놀이 일때에,평안과위로
405,458,주의 친절한 팔에 안기세,평안과위로
406,464,곤한 내 영혼 편히 쉴 곳과,평안과위로
407,465,구주와 함께 나 죽었으니,평안과위로
408,466,나 어느 곳에 있든지,평안과위로
409,,나의 기쁨은 사랑의 주님께,평안과위로
410,468,내 맘에 한 노래 있어,평안과위로
411,473,아 내 맘속에,평안과위로
412,469,내 영혼의 그윽히 깊은 데서,평안과위로
413,470,내 평생에 가는 길,평안과위로
414,475,이 세상은 요란하나,평안과위로
415,471,십자가 그늘 아래,평안과위로
416,,너희 근심 걱정을,평안과위로
417,476,주 예수 넓은 품에,평안과위로
418,,기쁠 때나 슬플 때나,평안과위로
419,478,주 날개 밑 내가 편히 쉬내,평안과위로
420,212,너 성결키 위해,성결한생활
421,210,내가 예수 믿고서,성결한생활
422,,거룩 하게 하소서,성결한생활
423,213,먹보다도 더 검은,성결한생활
424,216,아버지여 나의 맘을,성결한생활
425,217,주님의 뜻을 이루소서,성결한생활
426,215,이 죄인을 완전케 하옵시고,성결한생활
427,516,맘 가난한 사람,감사의생활
429,489,세상 모든 풍파 너를 흔들어,감사의생활
430,456,주와 같이 길 가는 것,주와동행
431,,주 안에 기쁨 있네,주와동행
432,462,큰 물결이 설레는 어둔 바다,주와동행
433,490,귀하신 주여 날 붙드사,주와동행
434,491,귀하신 친구 내게 계시니,주와동행
435,492,나의 영원하신 기업,주와동행
